Model_Features,Baseline_F1,Best_F1,Improvement,Improvement_Pct,Best_Method
Extra Trees_BoW,0.5971413050439971,0.6454268606192186,0.04828555557522152,8.086118841111462,grid_search
Extra Trees_TF-IDF,0.6232232014193139,0.6413132458588334,0.01809004443951956,2.9026590149920155,grid_search
Random Forest_TF-IDF,0.6281293484450323,0.6390080648979619,0.010878716452929593,1.731922967755039,grid_search
Bagging_TF-IDF,0.5926708562831863,0.6249669476574177,0.032296091374231395,5.449245737637533,grid_search
Support Vector Machine_TF-IDF,0.6108081318062634,0.6195315473230156,0.008723415516752264,1.4281760609433347,random_search
